2026-09-12T01:25:27.083405+00:00 generate_research_prompt: selected=396 already_succeeded=1 scheduled=395 remaining_after_limit=0 workers=2
2026-09-12T01:26:11.227545+00:00 [2/396 |   0.5%] succeeded=2 failed=0 rows=20 elapsed=00:44 eta=4:49:53 in_house_ip_legal__automotive__office_actions__f4e44dbca4f2: succeeded
2026-09-12T01:26:14.380388+00:00 [3/396 |   0.8%] succeeded=3 failed=0 rows=30 elapsed=00:47 eta=2:34:54 in_house_ip_legal__automotive__fto_design_risks__a208e2ac02fb: succeeded
2026-09-12T01:26:55.772863+00:00 [4/396 |   1.0%] succeeded=4 failed=0 rows=40 elapsed=01:29 eta=3:13:09 in_house_ip_legal__automotive__other__e8fba23de03b: succeeded
2026-09-12T01:26:57.838829+00:00 [5/396 |   1.3%] succeeded=5 failed=0 rows=50 elapsed=01:31 eta=2:27:51 in_house_ip_legal__automotive__patent_landscapes__69234a6c7b97: succeeded
2026-09-12T01:27:40.041658+00:00 [6/396 |   1.5%] succeeded=6 failed=0 rows=60 elapsed=02:13 eta=2:52:51 in_house_ip_legal__automotive__prior_art__c831e08ed7e7: succeeded
2026-09-12T01:27:41.053531+00:00 [7/396 |   1.8%] succeeded=7 failed=0 rows=70 elapsed=02:14 eta=2:24:46 in_house_ip_legal__biotech__draft_review_patents__b05c0a4b7f2c: succeeded
2026-09-12T01:28:21.329541+00:00 [8/396 |   2.0%] succeeded=8 failed=0 rows=80 elapsed=02:54 eta=2:40:58 in_house_ip_legal__biotech__fto_design_risks__a208e2ac02fb: succeeded
2026-09-12T01:28:29.149985+00:00 [9/396 |   2.3%] succeeded=9 failed=0 rows=90 elapsed=03:02 eta=2:26:48 in_house_ip_legal__biotech__office_actions__f4e44dbca4f2: succeeded
2026-09-12T01:29:00.568139+00:00 [10/396 |   2.5%] succeeded=10 failed=0 rows=100 elapsed=03:33 eta=2:32:36 in_house_ip_legal__biotech__patent_landscapes__69234a6c7b97: succeeded
2026-09-12T01:29:04.443450+00:00 [11/396 |   2.8%] succeeded=11 failed=0 rows=110 elapsed=03:37 eta=2:19:28 in_house_ip_legal__biotech__other__e8fba23de03b: succeeded
2026-09-12T01:29:40.728956+00:00 [12/396 |   3.0%] succeeded=12 failed=0 rows=120 elapsed=04:14 eta=2:27:35 in_house_ip_legal__chemical__draft_review_patents__b05c0a4b7f2c: succeeded
2026-09-12T01:29:44.463463+00:00 [13/396 |   3.3%] succeeded=13 failed=0 rows=130 elapsed=04:17 eta=2:16:55 in_house_ip_legal__biotech__prior_art__c831e08ed7e7: succeeded
2026-09-12T01:30:26.838380+00:00 [14/396 |   3.5%] succeeded=14 failed=0 rows=140 elapsed=05:00 eta=2:26:48 in_house_ip_legal__chemical__fto_design_risks__a208e2ac02fb: succeeded
2026-09-12T01:30:28.775402+00:00 [15/396 |   3.8%] succeeded=15 failed=0 rows=150 elapsed=05:02 eta=2:16:50 in_house_ip_legal__chemical__office_actions__f4e44dbca4f2: succeeded
2026-09-12T01:30:56.621515+00:00 [16/396 |   4.0%] succeeded=16 failed=0 rows=160 elapsed=05:30 eta=2:19:08 in_house_ip_legal__chemical__other__e8fba23de03b: succeeded
2026-09-12T01:31:07.966997+00:00 [17/396 |   4.3%] succeeded=17 failed=0 rows=170 elapsed=05:41 eta=2:14:35 in_house_ip_legal__chemical__patent_landscapes__69234a6c7b97: succeeded
2026-09-12T01:31:40.144594+00:00 [18/396 |   4.5%] succeeded=18 failed=0 rows=180 elapsed=06:13 eta=2:18:15 in_house_ip_legal__chemical__prior_art__c831e08ed7e7: succeeded
